sentimen,Tweet,sentimen-text,Target
 2,pasya claim yang aku tok makan apa apa still kurus keding babi juak eh aku lom pernah rasanya post gamba ku gemok ,Negative,Negative
 2,sumpah tak suka bila rasa diri jadi second choice kan best kalau ada orang yang memang tunggu aku dah lama and still ,Negative,Negative
 2,mas kamu ganteng tapi ngetik email jadi imel mending kamu balik aja ke jaman kompeni bantu voc dagang rempah rempah,Negative,Negative
 2,depan family dia boleh lah berlakon acah suci smpai family pun suka sgt kat dia tapi belakang family tuhan je tahu ,Negative,Negative
 2,wah sama nder kmrn2 aku gt di kelingking kaki itu tuh parah bgt sampe ngelupas berdarah pdhl gapernah gitu ,Negative,Negative
 1,lagu insomnia nya skz itu bukan tittle track ya kok aku malah ketagihan lagu itu hehe,Positive,Positive
 1,aku kagum pada thor anak tuhan tapi idup serba sederhana cuma ada tukul tak yah keta hrga juta2 ,Positive,Positive
 1,sebenarnya aku sedar je yang aku ni tak cantik sebab tu aku letak nama yangchantik sebab nak boost confident aku kalau ,Positive,Negative
 2,aku nak beli memang tak sesuai ah aku tak suka kucing ,Negative,Negative
 1,semarang kota di mana aku dgnnya bertemu meskipun tdk langsung bersatu tapi mampu melewati waktu hingga akhirnya bertemu ,Positive,Positive
 2,aku dan kisah miskinku ,Negative,Negative
 2,kamu kok gitu sama aq ,Negative,Negative
 2,uhh favorit gue tuh menyuruh orang untuk bahagia buat nglupain kita kok malah sedih ya aku,Negative,Negative
 2,walaupun diri ini dah hancur percayalah aku cuba juga untuk membahagiakan orang sekeliling tanpa putus asa itu sahaja ya ,Negative,Negative
 1,idm chim kamu gkpp kan duh maafkan aku terlena sama pesonamu nyatanya mata kamu lagi sakit ,Positive,Negative
 1,mutualan yuk aku ikonic jg btw rt aja ya fllbck tpi hehe ab ,Positive,Negative
 2,haa dengkurrrr lembap nya sel sel otak aku ni berhubung astaghfirullahalazim,Negative,Negative
 2,dua hal yang tak terbatas alam semesta dan kebodohan manusia dan aku tidak yakin tentang alam semesta ,Negative,Negative
 1,hahahahahah aku tahu muka aku jambu ,Positive,Positive
 2,sorry ,Negative,Positive
 2,walaupun diri ini dah hancur percayalah aku cuba juga untuk membahagiakan orang sekeliling tanpa putus asa itu sahaja ya ,Negative,Negative
 1,entahlah kenape aku bole mention ulat bulu ni hahaahhha,Positive,Negative
 2,aku nak pulang barang kau je tu pun susah gila nak balas ws ke perangai macam apa la,Negative,Negative
 2,tiap pacaran harga diri aku turun turunin tuh ,Negative,Negative
 2,bila diam je terus kena label kita ni sombongebenarnya aku tak sombong pun just malu and at the same time aku jaga adab juga ,Negative,Negative
 1,alhamdulilah welcomeeeeeeeeeee kasus ta ku terharu aku tuuu ,Positive,Positive
 2,kamu serupa kegagalan mematahkan tapi ingin terus kuperjuangkan ,Negative,Negative
 2,c aku paling sikit ' ,Negative,Negative
 2,kamu bebas mencibir menjelek2kan pemerintah sampai kamu nungging2 muntah2 giliran pemerintah memberi hak rakyat untu ,Negative,Negative
 1,huehuehuee mau rusakin ahh,Positive,Negative
 2,ha ah aku selalu mati awal dalam squad aku kakakakaka ternyata aku lemah ,Negative,Negative
 2,ya allah serba salah aku ini ,Negative,Negative
 2,orang sabah jangan kamu kasitau pulau mana yang selamat biar dorang kenak culik betul betul oleh abu sayap ,Negative,Negative
 2,smlm aku menangis teruk kerana mimpikan mereka yg mengutuk menghina mengeji mengkhianati dan kejam terhadap aku direjam dlm ,Negative,Negative
 2,jika kamu pikir flirting adalah hal biasa selama ini kamu salah flirting dapat menjadi sumber masalah jika pemaka ,Negative,Negative
 2,tak faham la dengan orang yang tak suka aku tapi still nak tau pasal aku ,Negative,Negative
 2,kamu aja la ew,Negative,Negative
 2,semua nak boyfriend aku nak straight as je weh me crushing on good grades is hurtful,Negative,Negative
 1,seger bgt yus aku tongkrongin sampe makan siang hahaha,Positive,Negative
 2,aku ingin kembali berada diantara ruang rusukmu yang rapat di aliran darahmu yang pekat engkau rumah ,Negative,Negative
 2,aaa bgt gaberenti2 ngomong kapan ya bisa seseru itu lagi huu kecuali gelut ya aku jd korban terus,Negative,Negative
 2,kadang ketampanan dan kecantikan yang ada di sosial media belum tentu sama aslinya saat ketemu masa kamu mengabaik ,Negative,Negative
 2,aku rasa sangat berdosa bila seronok sebab hujan lebat tengahari jumaat ni,Negative,Negative
 2,kesalahanku ngeklik mv ost 100 days my prince yg dinyanyiin mbak gummy abisan ga tahan yaa kalo udah ada nama gum ,Negative,Negative
 1,oke sok atuh lah lakukan kalo emang oke menurut kamu ,Positive,Negative
 2,manada bohong emang kamu aja yg tua ,Negative,Negative
 1,dari nyaman timbul simpatik pendengar yang membuatnya ingin jadi penyelamat hidup kamu lanjut kesentuhan yg niat ,Positive,Negative
 2,terasa bodo sangat harini boleh lupa park kereta kat mrt pastu selamba je naik grab dah sampai tengah jalan aku jerit ,Negative,Negative
 2,teruk sangat ke aku ni dengan pekerja mcd pun kena reject ,Negative,Negative
 2,bila diam je terus kena label kita ni sombongebenarnya aku tak sombong pun just malu and at the same time aku jaga adab juga ,Negative,Negative
 2,ya ampun ku harap bisa ganti dan aku mau gantiii,Negative,Negative
 2,aku yang kurang atau kamu yang tidak pernah cukup dengan satu aku ,Negative,Negative
 2,kalian semua jangan bergerak angin yg bertiup d kampung ini hitem warnanyaaa ,Negative,Negative
 2,aku fakap betul kalau nak pergi makan ramai2 nak happy2 tetibe ada yang badmood woiiii nak makan je woiii ,Negative,Positive
 1,okay yg ni aku nak gelak hahahahahaahhaa,Positive,Positive
 1,sebab aku yakin pada apa apa yang allah tetapkan dan ridhoi ,Positive,Positive
 2,shalat jumat berkali2 kok aku masih jelek ya ,Negative,Negative
 1,asal ikut aku pula haha,Positive,Negative
 2,wow ni teruk sangat ni tapi aku rasa lagi sakit kalau kacang lupakan kulit haa gituu,Negative,Negative
 2,ga ada ,Negative,Negative
 2,misalnya ada suatu kondisi dmn aku bnran lg galauin km trus km ngetweet galau seolah2 itu buat aku padahal buat org lain itu babi namanya ,Negative,Negative
 1,haha saja tnya kot la hampa ada mai jalan belah sini boleh aku join bosan gak tkbalik haha,Positive,Negative
 2,mas ini malam jumat loh yakin kamu gak mau kesini ,Negative,Negative
 2,aku fast lena do bukan fast learner,Negative,Negative
 2,kadang kamu harus berhenti peduli pada seseorang bukan karena membencinya tapi karena dia tak pernah menyadari pedulimu katabijak,Negative,Negative
 2,ya tuhan semoga aku dijauhkan dari manusia yang tak setia dan suka curang amin ,Negative,Negative
 2,menitik air mata aku terbayang betapa terseksa kucing betina bunting tu mati melecur dalam mesin dryer kedai dobi taman ,Negative,Negative
 1,duh jadi pingin seblak tanggung jawab dong gegara kamu noh jadi pingin seblak ceker es buah ayam geprek hmm,Positive,Negative
 1,tapi aku yakin mereka satu sama lain tuh temen banget semuanya juga berbakat dan saling dukung,Positive,Positive
 1,makasih udah bikin aku ketawa di kelas hehe,Positive,Positive
 1,iya deh kamu kan mommy yang sempurna ,Positive,Positive
 1,aku cinta sekali lipcream emina ,Positive,Positive
 2,berani karena dia ga main twitter aku kangen kaksur ,Negative,Positive
 2,ga mau jawab ah ngebayangin aja aku baper,Negative,Negative
 2,bisa dijelasin ini parfum siapa di kamar kos kamu baunya cewek banget tadi aku nemu disamping kasur ayok jelasin h ,Negative,Negative
 1,rlt ini di mall aku nemu ginian ngakak bgt ,Positive,Negative
 2,ishhh sengaja nak buat aku terpengaruh haihh apa tajuk lagunya ,Negative,Negative
 2,cerita takut kucing minah tu sebiji aku tp kalau kucing tu tetibe melompat manjat tu aku rasa satu taman molek dengar aku menjerit ,Negative,Negative
 2,aku mintak maafebab aku dah penat nak menjaga hati orang yang sikit pun tak menjaga hati aku balik ,Negative,Negative
 2,aku nggak pernah baik baik saja kalau lagi kangen sama kamu ,Negative,Negative
 2,sebab mak aku pesan tak salah dan tak rugi pun kalau kita layan baik kat orang yang dah sakitkan hati kita,Negative,Negative
 2,sedihnya rasa kadang kadang bila doa yg aku doa termakbul walaupun aku bukan hambanya yg terbaik allah tau apa yg kita pe ,Negative,Negative
 2,agak2 la kalau macamni dulu kalau kat asrama pun kalau ada orang selit2 sampah makanan kat celah katil pun aku r ,Negative,Negative
 2,sori aku belum minat jual nyawa ke setan di sini juga setan tapi aku masih bisa pegang tanduknya ,Negative,Negative
 2,kok enak banget aku yg tanggung kamu tinggal jawab aja ,Negative,Positive
 2,kecewa jugak bila kita ingat dia dah tidur sebab tak reply whatsapp tiba tiba tengok dekat ig boleh pulak reply dm orang ,Negative,Negative
 2,terasa bodo sangat harini boleh lupa park kereta kat mrt pastu selamba je naik grab dah sampai tengah jalan aku jerit ,Negative,Negative
 1,sampai saat ini kamu adalah orang yang setiap hari aku ceritakan dan aku banggakan didepan teman temanku ,Positive,Positive
 2,wehhhhh allahu sakitnyaaaaa ,Negative,Negative
 2,masa kecik kecik dulu aku tak ikut mak aku masuk dalam sebab fikir macam ni laaa ,Negative,Negative
 2,sorry wehebabusahkan kau aku tak suka bila kawan aku cakap macam ni kau kawan aku jadi tolong kau tu dah macam tan ,Negative,Negative
 1,cinta itu bukan sekedar logika saling bersama tapi cinta lebih kepada menjiwai bersatunya kamu dan aku dalam indahnya semesta ,Positive,Positive
 2,aku klu mati beranak mati syahid aku kau kalau mati sekarang matilah kau sbg pencinta suami org penganggu hidup org ,Negative,Negative
 2,demi turun ngambil ini aku kepleset ditangga ,Negative,Negative
 1,ya ya ya dan aku tahu sekarang ,Positive,Positive
 1,aku mau ikutan lagi ,Positive,Negative
 1,aku kat sini mencarut carut sieyy hahahahahahahhhahaha,Positive,Negative
 2,ini mama bbl lama siak member dia smpai ada yg tidur aku tk paham dia nya bahasa tapi suspect topic boring ,Negative,Negative
 2,babang bikin gagal fokus ahhh link download blued apk android ios buka ,Negative,Negative
 1,sok hebat aku cinta bahasa indonesia ,Positive,Positive
 1,tak peduli apa yang telah hilang dalam hidupmu selama kamu masih mampu bersyukur pada tuhan kamu tak kehilangan apapun ,Positive,Positive
 1,wkwk aku yo sok ngono btw ,Positive,Negative
 2,halo aku bs dm ga aku jg di di maki2 kek kampang aja ni orang kurang ajar udah aku laporin dia ke pih ,Negative,Negative
 2,mung selalu fikir negative buat apa weh aku bukan jenis macam tu setan,Negative,Negative
 1,chemotherapy gdp cycle 2 day 1 orang lain sibuk daftar sem aku sibuk daftar wad doakan yg baik baik https ,Positive,Negative
 1,kalau duduk sini tempat die terhad tapi kalau duduk sane kamu kene duduk bersila hanya budak sekolah aku je faham hahahah,Positive,Negative
 2,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl ,Negative,Negative
 2,perempuan ni makin hari makin bangang sangat kenapa,Negative,Negative
 1,kata temen2ku pas sma ntar kamu kuliah ambil sastra indonesia aja cocok loh ,Positive,Positive
 2,bagaimana kamu bisa meyakinkan kami bahwa kita sama2 mencintai nkri mencintai presiden nkri yg sah saja kamu tidak mamp ,Negative,Positive
 2,aku biasa aja ma manba jd ya biar terserah staff aja anak2 di grup tuh yg hype bgt ,Negative,Negative
 2,samaama tapi ini udah berakhir kok aku jg bingung kalo liat kalian sementionan di teel ,Negative,Negative
 1,cepet sembuh sayaang semoga kamu selalu diberikan kekuatan dan allah angkat sakit kamu segera yaaemangat a ,Positive,Positive
 2,aku tahu lah aku ni cengeng tapi cuba jangan cakap asyik nangis je lain orang lain cara dia luahkan kesedihan mujur aku t ,Negative,Negative
 2,kalau rindu aku nak bagitahu ni whatsapp aku masih berfungsi dengan baik tau aku jarang bagi bluetick kat orang melai ,Negative,Negative
 1,makasih kamu cepet sembuh ya ,Positive,Positive
 2,aku taktahulah macam mana sakitnya arwah nenek aku dulu boleh lahirkan 15 orang anak nak lahirkan sorang pun dah seksa ,Negative,Negative
 1,alhamdulillah hidup lgi yg penting hahaha buat masa ni tkdelah tkde rindu lgi kt shah alam tu he ,Positive,Positive
 1,ya gimana ya aku juga bingung mau kasih saran nih km jatuh hati karna foto tampannya ,Positive,Positive
 2,aku buat ape kt kau sampai kau layan aku macam gini,Negative,Negative
 1,cintafarahmlda1 aku cinta farah maulida,Positive,Positive
 1,aku tak faham betul lah terlalu baik ,Positive,Negative
 1,aku penggemar mie burung dara enaknya nyambung terus,Positive,Positive
 2,ngeremehin aku ya ,Negative,Negative
 1,wah pas banget aku abis bikin tiktok baru,Positive,Positive
 1,aku cinta bahasa indonesia,Positive,Positive
 2,kamu udah kuliah tapi kok ga malu sih ,Negative,Negative
 2,kenapa kurus kering sangat ni tak cukup makan ke dia tak tahu yang aku struggle gila nak tambah berat badan t ,Negative,Negative
 1,kebahagiaan tidak akan habis hanya karena membaginya ketahuilah kebahagiaan bertambah ketika kamu bersedia untuk berbag ,Positive,Positive
 2,heh kamu kira aku bencong apa,Negative,Negative
 2,aku stress dah ni main ml asyik menang kalah menang kalah sampai aku khawin pon tak naik ii ,Negative,Negative
 1,mungkin kamu hanya seseorang bagi dunia tapi bagi seseorang mungkin kamu dunianya ,Positive,Negative
 1,sama aku juga sering gitu,Positive,Positive
 2,terkadang bukan kenangan buruk yang membuatmu bersedih tapi kenangan indah yang kamu tahu hal itu tak akan terulang kem jokamlicious,Negative,Positive
 2,huh yg gw liat sejauh ini j army ga menentang malah pada seneng nanti pas handshake event saingannya dikit lol pinter kamu,Negative,Negative
 2,pinned chat kat ws dok atas sekali ws dua hari lepas tak read read tapi dp ws dah 3 4 kali aku tengok ubah ubah em ok laa ,Negative,Negative
 2,aku ingin jadi yg terakhir untuk kau tapi semuanya mimpi,Negative,Negative
 2,jangan berjuang untuk orang yang gak perjuangin kamu juga coba noleh kebelakang gaada sih yg perjuangin kamu xixixi,Negative,Negative
 2,aku tengah deal dengan hati tapi aku kalah sebab masih sayangkan kau ,Negative,Negative
 2,sekali aku dah tegur cukup mungkin dia nak berubah ke tak hal dia asalkan dah lepas tanggungjawabkan,Negative,Negative
 2,gaisss maafkan la si gemok lagi bodoh ini sesungguhnya dia hanya manusia biasa yg sering melakukan kesilapan dan ,Negative,Negative
 2,kadang2 aku rasa kau terpaksa kau takde pilihan pun untuk stay tapi kau taknak nampak kejam untuk pergi ,Negative,Negative
 1,nctea aku jadi pengen punya pacar kayak jaemin sumpah dia tuh loving guy banget kalo lgi dengerin org crita senyumnya ,Positive,Positive
 2,mb aku emang bangsad maafkan aku ,Negative,Negative
 1,aku memahami eceh,Positive,Positive
 2,mesti sakit kalau tercucuk,Negative,Negative
 2,aku tak dapat hidup tanpa sahabat baik ku aku bahkan tak dapat membayangkan dunia tanpa sahabat baik ku erzacarlet,Negative,Negative
 2,dia ajak aku main game dalam kedaan hp org semua kene rampas ni jadah dia haih,Negative,Negative
 2,walaupun diri ini dah hancur percayalah aku cuba juga untuk membahagiakan orang sekeliling tanpa putus asa itu sahaja ya ,Negative,Negative
 2,jangan kamu cemburu akan nikmat yg diperoleh oleh ahli maksiat ,Negative,Negative
 2,syok sendiri aku pun tak post dlm acc aku kau pulak postkan dalam acc aku ,Negative,Negative
 2,aku harap orang yang buat kat kucing macam ni kekal dalam neraka hidup pun perangai lagi teruk dari binatang ,Negative,Negative
 2,daripada gaketemu sama sekali sih dia kan mau ngelepas kangan bukan mau liat kamu mulus ,Negative,Negative
 2,thread paling anjing at first ingat apa masalah minah ni cakap pasal insecurity dia atau masalah psycho dia rupa rupa ,Negative,Negative
 2,adik aku kalah fifa dia salahkan fifa,Negative,Negative
 2,anjing,Negative,Negative
 1,kak ingt msh ada aku gk ush pusing klau nanti sibuk wkwkwk,Positive,Negative
 1,nak beritahu kalau orang tegur cuba kita ambil sisi positif teguran tu mungkin cara dia kasar menegur tapi atleast di ,Positive,Negative
 2,maybe now u won but its okay kita takkan sentiasa di ats just do wht ever u want u guys yg mintak aku benci korg ,Negative,Negative
 1,yes sumpah sure hahhahahah stress aku nak membuang pon tak selesa,Positive,Negative
 2,heh justru aku iri sama yang ambis aku tu ya sumpah ngantukan sekos nih sama2 anak fk ,Negative,Negative
 1,selamat siangg wahai kawanku bagaimana siang jum'at nya panas kah ah pasti kayaknyaemoga ga sepanas keti ,Positive,Negative
 1,ya ya ya dan aku tahu sekarang ,Positive,Positive
 2,dengan kata lain bigbang tidak akan pernah bisa kamu banding bandingkan dengan siapapun dan gak ada itu kata kata the nex ,Negative,Negative
 2,tak ajak aku pun ,Negative,Negative
 1,hahahahha nasib aku adekan saport kau dulu tidak nanti hambar,Positive,Negative
 2,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang ,Negative,Negative
 2,aku kangen kamu dulu saat kita jalan bersama ,Negative,Positive
 2,kisah sedih minggu ini ,Negative,Negative
 1,yaa aku kan pengen dapet ,Positive,Positive
 2,kalo kamu lagi dimana mana dan itu bukan daerahmu ya coba buat ngehargain apa yang ada disana jangan sembar ,Negative,Negative
 2,aku pernah ngorat sorang laki ni pastu dia rejected aku mampus tanak ngorat dahhhhh,Negative,Negative
 1,karna penampilan tidak menjamin rijki serta jodoh seseorang jadi bersyukurlah aku yg tetap selalu mencoba seseder ,Positive,Positive
 1,aku suka bila org yg aku syg selalu cari aku letakkan aku sbg priority diauka duka susah senang dia cari aku dia tak p ,Positive,Positive
 2,jangan lupa sholat jumat ya sayang aku jelek ya sayang ' bukan biar ganteng ih itu kan wajib oh kirain makasi ,Negative,Negative
 1,thank you cit udah percaya ama shop aku ,Positive,Positive
 1,dear kaum hawa ciri bf apa yang anda suka aku tanya hawa yang jantan jangan komen hahaha,Positive,Negative
 2,then mase aku tade mood tu ternampak pula post pasal kucing lah dobi lah lagi buat aku geram ,Negative,Negative
 1,kamu cantik dan hatimu baik hertysev,Positive,Positive
 2,nyesek rasanya kenapa kamu setega itu,Negative,Negative
 2,kenapalah aku kena duduk depan drama queen ni urghhhh ,Negative,Negative
 1,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka ,Positive,Negative
 2,aku rasa jual maruah pun tak lepas nak beli iphone xs ni ,Negative,Negative
 2,aku benci menganggap enteng apapun tugas yang diberikan gildarts,Negative,Negative
 2,nyebelin banget sengaja banget buat sebell huft ,Negative,Negative
 1,bersama terbenamnya matahari senja ini panjangkanlah kesabaranku sampaikanlah aku di masa depan yang mapan,Positive,Negative
 2,suka heran kenapa rp chanyeol banyak banget di tl aku sampe puyeng ,Negative,Positive
 1,nak beritahu kalau orang tegur cuba kita ambil sisi positif teguran tu mungkin cara dia kasar menegur tapi atleast di ,Positive,Negative
 2,pp bingung mau nembak cewe gimana atau mau ngelamar hmmm atau mau mensive tp bingung mau ngasih hadiah apaa hiiiii ,Negative,Negative
 1,giveaway bcs belakangan ini banyak kejadian hal baik dan aku udh ngerasain gimana rasanya menang ga jadi aku mau ga kec ,Positive,Negative
 2,tlg please bg perempuan tu baca malu wei lagi malu bila dia beria cerita kat kwan dia n aku skli dengar aku n ,Negative,Negative
 2,so im back to single life after being dumbed by my ex gf sebab dia ada laki lain guys not all men are trash aku sia ,Negative,Negative
 1,aku harap korang akan okay,Positive,Positive
 1,yaaaaaaa,Positive,Positive
 2,orang selalu kata aku penat when dia sebenarnya tengah rasa sedih ,Negative,Negative
 1,aku aja aku,Positive,Positive
 2,makin aku besar makin banyak perkara yang aku pendam dan tak kongsi dengan orango jangan pelik kalau aku dah tak kuat semb ,Negative,Negative
 2,aku relaa dikutuk jadi bayi yang digendong minongeriusaan ,Negative,Negative
 2,aku tak faham betul lelaki tak suka perempuan pakai makeup ,Negative,Negative
 2,ga kenal aku,Negative,Positive
 2,tak kiro apikan ro aku tok jebul ro kabeh tiwas gr,Negative,Negative
 2,khas untuk suami yg curang dgn isteri tak reti appreciate isteri dan kaki betina betapa besarnya pengorbanan seorg ibu ,Negative,Positive
 1,giveaway lagi nihhhh aku akan jadi karma buat kebaikan yang udh kalian lakuin selama ini dgn cara bagiin parfum yg lg hits ,Positive,Positive
 2,bareng chanu jgn bacot di mt nanti limit mentab ke suspend loh wkwk aku mau molor bentar,Negative,Negative
 1,bilang aamiin makasih kalo aku anti kamu lebih cantik club ,Positive,Negative
 2,takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian,Negative,Negative
 1,buat yg suka genre crime mistery thriller kudu bgt nntn drama satu ini hand the guest heran aku knp ocn jago bg ,Positive,Positive
 2,aku bisa terima semua ini walaupun aku harus terluka ' ,Negative,Positive
 2,jadi diri sendiri uke ga harus cute tapi uke harus lelaki lagipula kalau seseorang tidak suka dengan ,Negative,Negative
 2,alasan paling cliche aku pernah dengar dari mulut seorang wanita adalah 'saya dah banyak sakitkan hati awak dan tak sanggup ,Negative,Negative
 2,apakah harimu terasa kacau berantakanean pernah mengalaminya dan inilah responnya ,Negative,Negative
 1,aku ilham u ,Positive,Positive
 2,aku ngode ke kamu tapi kamu nyuruh ke orang lain jd kamu tipe yg seperti itu yun dah ah jgn bikin notif org2 jd penuh ,Negative,Negative
 1,giveaway pulsa dikarenakan hari ini aku lagi bahagia mau adain ga kecil an buat kalian 2 pemenang akan dapat puls ,Positive,Positive
 2,cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p ,Negative,Negative
 2,merepak indah aku hahaha asa nk ketok jak palak pemerintah ya,Negative,Negative
 2,aku kalau dah sakit hati dengan orang muka orang tu pun aku malas tengok ,Negative,Negative
 1,finally uri khunnie ada solo tour ma terharu aku tuh ,Positive,Positive
 2,aku tak mempunyai segalanya seperti yang lain tapi aku punya hati yang selalu setia padamu bot,Negative,Positive
 2,dan perlu juga aku ingatkan tidak sesekali aku mengikuti prinsip bucaeillism iaitu mengaitkan penemuan saintifik dengan ,Negative,Positive
 2,tapi nak perbetulakn apa yang dah hancur tu mustahil bagi aku la aku tak dendam tapi aku tak boleh terima dan lupakan ,Negative,Negative
 1,aku pun pikir benda yang sama,Positive,Negative
 1,tsktays mutualan hayuk rt aja aku ada auto follback yaaa ,Positive,Negative
 2,penat seyh,Negative,Negative
 1,aku meratapi hidup dengan chill ,Positive,Positive
 2,bestfriends always known me well aku tak sempat nak cerita pun yg aku tgh sedih tiba tiba dia hantar lagu ni yang s ,Negative,Positive
 1,hahahaha maap yak dikira aq soalnya kan km ngasih aku eyeshadow palette ,Positive,Negative
 1,aku ni dah la mudah terhibur ya allahhhh ,Positive,Positive
 2,hahaha aku gak pinter2 gmna kak ini aja kek mau nyerah bgt dah da mampu ,Negative,Negative
 2,aku tahu aku banyak sakitkan hati kau cuma aku nak minta maafebab aku menyesal buat semua tu aku rindu kau ,Negative,Negative
 1,hai orang orang yang beriman janganlah kamu mengkhianati allah dan rasul muhammadaw 8 27 ,Positive,Negative
 1,haii aku michelle si cantikk imuutt pinteerr bgt o gt lt o itu gak boong lhoo p,Positive,Negative
 2,aku susah nak sayang orang aku susah nak move onemua perlu masa yang lama tapi bila dah sayang aku akan sayang gila ,Negative,Negative
 2,jangan tanya aku kenapa aku jadi mcm ni aku memang senang nak memaafkan tapi aku susah nak melupakan,Negative,Negative
 2,kepada perempuan yang berdiri sebelah aku dekat pejabat hea fakulti pengurusan perniagaan tolonglah bau mulutendir ,Negative,Negative
 1,tergelak sorang sorang aku bila baca reply dorangni hahahaha ,Positive,Negative
 2,mbok kalau mau ngutip pilm itu yg sedikit nasionalis kek misalnya kamu tuh kalau lagi kebingungan lebih nyenengin ya ,Negative,Negative
 2,rindu aku tu,Negative,Positive
 2,dah dah la post pasal kucing kena seksa tu aku rasa macam nak nangis dalam rumah aku saja dah 10 ekor aku bela dah mcm ,Negative,Negative
 2,aku bingung ini akun siapa bot jangan jahat ,Negative,Negative
 1,baca ini jadi kembali menjejak bumi kembali sadar kalau kekuasaan allah lebih besar sekuat apapun kamu mengu ,Positive,Negative
 2,gak ngasih aku makan nih un ,Negative,Negative
 1,apapun yang berlaku akan aku tetap teguh berdiri di sini,Positive,Positive
 2,aku sumpah tak okay,Negative,Negative
 1,salah 1 prinsip hidup aku bila aku dah berkeluarga aku sanggup utk buat apa saja demi isteri anak aku turut semua kehe ,Positive,Positive
 1,siapa yg mencari mati syahid dengan sungguh sungguh maka aku memberikan kepadanya meskipun dia mati diatas tempat tidurn ,Positive,Negative
 1,iya sayang makasih ya love you too ,Positive,Positive
 2,huhu jangan sedih dong kak masih ada aku yang bisa nyemangatin kamu eheheaat ini kami sedang berus ,Negative,Negative
 2,waw ini aku tidur atau gimana di cakar kucing kagak berasa bangun2 uda perih ajah,Negative,Negative
 1,crush pun dah tunjuk true colours dia so aku pun blah,Positive,Negative
 1,bila aku sedih aku selalu ingat ayat ni takpa lahh allah sayang kau sebab tu dia uji kau dengan macam macam dug ,Positive,Negative
 2,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu ,Negative,Negative
 2,tak perlu kot video call tu nak buat apa sangat video call nak tatap apa sampai juling tak payah nak contact ,Negative,Negative
 2,astagfirullah maaf ini aku ketawa ,Negative,Positive
 2,kamu sebelas aku duabelas kamu gak jelas aku lepas ,Negative,Negative
 2,tak sure rasanya ada kot aku pun taktahu,Negative,Negative
 2,hahaha sedih kan nak tunggu aku cantik mcm artis yg dia minat ke cmne baru dia nak pandang aku ,Negative,Negative
 2,kamu agresif nder,Negative,Negative
 1,iyaa aku percaya kamu udh gede hun iyaa ,Positive,Negative
 1,hahahaha ,Positive,Positive
 1,tidak perlu khawatir tentang apa yang akan terjadi besokelama kamu tahu cara berdoa semua akan baik baik saja ,Positive,Positive
 1,aku cintaalim 45alim lovers,Positive,Positive
 1,mutualan yuk aku ikonic jg btw rt aja ya fllbck tpi hehe ab ,Positive,Negative
 2,apa lagi sial aku buat ,Negative,Negative
 2,benci uh kerje gan orang tkleh tolak ansur kerja gan bangsa dia kadang boleh buat aku nk brehenti kerje ,Negative,Negative
 1,hari ini aku tak akan menunda lagiemakin aku menunda semakin aku galau tanpa guna anak muda harus cepat ,Positive,Negative
 1,giveaway lagi nihhhh aku akan jadi karma buat kebaikan yang udh kalian lakuin selama ini dgn cara bagiin parfum yg lg hits ,Positive,Positive
 1,org yg terlebih mampu pn target rumah murah org yg x brapa mampu nak duduk pun target rumah murah yes it is part of ,Positive,Negative
 1,tu lah klau tunang aku ttbe senyap aku yg rasa bersalah hahaha ,Positive,Negative
 2,idm aloha a r m y mutualan yuk no mulfan yah idn aku yg ada 1 ,Negative,Negative
 1,baik dan selalu sayang sama aku dia juga punya segalanya yah tipe tipe pangeran gitu lah yang ,Positive,Positive
 1,hahahaha aku malah demen yg ginian daripada yg tembak2 perang gitu ,Positive,Negative
 1,lutchuuuuu kesayangan kesayangan aku ,Positive,Positive
 1,ana uhibbuki fillah hatta fil jannah abadan abada aku mencintaimu hingga ke syurga selama lamanya kerana allah ,Positive,Negative
 1,hidup bukan melulu tentang hal hal besar banyak sosok inspiratif yang jauh dari highlight di sisa hidupku aku ingin bertem ,Positive,Negative
 1,krn kebutuhan istri ga cuma sandang pangan papan doang kalo kamu cinta sm istrimu ya kamu hrs memenuhi kebutuhan sekund ,Positive,Positive
 1,bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah ,Positive,Positive
 2,lawanya dia tak macam aku hm kau nak tahu tak apa dia hidup ni kalau asyik dibanding bandingkan kau takk ,Negative,Negative
 2,sumpah tak suka bila rasa diri jadi second choice kan best kalau ada orang yang memang tunggu aku dah lama and still ,Negative,Negative
 1,setiap orang memang berhak menilai dirimu tanpa tau siapa dirimu tapi ingat kamu juga berhak tuk tak peduli denga ,Positive,Negative
 1,hahaha nk terbang ke sana ke mcmn nnt aku tgk kt setia alam punya ,Positive,Positive
 2,kasihan banget umat jadi bodoh begini dan mental rusak karena ajaran agama yang tidak benareba ,Negative,Negative
