NAMA_BARANG,NAMA_BARANG_NO_SPCHAR,JML_BARANG,KRITERIA_BARANG
Palm Kernel,PALM KERNEL,36731,
TBS PERIODE 09 - 10 OKTOBER 2021,TBS PERIODE 09  10 OKTOBER 2021,36803.5,TBS
Ongkos Angkut TBS DIV 7,ONGKOS ANGKUT TBS DIV 7,37460,
"CPO/Crude Palm Oil, No.Kontrak 089/PM/C-CPO/V/2021",CPO CRUDE PALM OIL NO KONTRAK 089 PM C CPO V 2021,37520,CPO
"CPO/Crude Palm Oil, No.Kontrak 066/PM/C-CPO/IV/2021",CPO CRUDE PALM OIL NO KONTRAK 066 PM C CPO IV 2021,37830,CPO
Ongkos Angkut TBS Div 5,ONGKOS ANGKUT TBS DIV 5,38170,
Palm Kernel,PALM KERNEL,38190,
"Pembayaran Uang Muka, CPO/Crude Palm Oil, Kontrak No.027/PSJ/C-CPO/II/2021",PEMBAYARAN UANG MUKA CPO CRUDE PALM OIL KONTRAK NO 027 PSJ C CPO II 2021,38770,CPO
TBS PER 16-31 DES 2021 (TT 2011),TBS PER 16 31 DES 2021 TT 2011,39181,TBS
Ongkos Angkut TBS DIV 3,ONGKOS ANGKUT TBS DIV 3,39340,
PENJUALAN CRUDE PALM OIL,PENJUALAN CRUDE PALM OIL,39340,CPO
"CPO/Crude Palm Oil, No.Kontrak 150/PM/C-CPO/IX/2021",CPO CRUDE PALM OIL NO KONTRAK 150 PM C CPO IX 2021,39450,CPO
Crude Palm Oil,CRUDE PALM OIL,39519,CPO
TBS Periode 17 Juni 2021,TBS PERIODE 17 JUNI 2021,39741.30078,TBS
CRUDE PALM OIL,CRUDE PALM OIL,39800,CPO
Palm Kernel,PALM KERNEL,39923,
CRUDE PALM OIL,CRUDE PALM OIL,40050,CPO
PALM KERNEL,PALM KERNEL,40120,
PALM KERNEL CURAH / MB (Mass Balance) - (RSPO Certified/Certificate Code : MUTU-RSPO/062),PALM KERNEL CURAH  MB MASS BALANCE  RSPO CERTIFIED CERTIFICATE CODE  MUTU RSPO 062,40580,
TBS PER 01-15 DES 2021 (TT 2013),TBS PER 01 15 DES 2021 TT 2013,40676,TBS
TBS PERIODE 26 FEBRUARI 2021,TBS PERIODE 26 FEBRUARI 2021,41839.5,TBS
Ongkos Angkut TBS Div 4,ONGKOS ANGKUT TBS DIV 4,41990,
Crude Palm Oil,CRUDE PALM OIL,42278,CPO
Ongkos Angkut TBS DIV 3,ONGKOS ANGKUT TBS DIV 3,42630,
TBS PERIODE 16 DESEMBER 2021,TBS PERIODE 16 DESEMBER 2021,42716.80078,TBS
INTI SAWIT,INTI SAWIT,42750,
Crude Palm Oil,CRUDE PALM OIL,43373,CPO
Palm Kernel,PALM KERNEL,44447,
Ongkos Angkut TBS DIV 2,ONGKOS ANGKUT TBS DIV 2,45360,
TBS Periode 06-07 Desember 2021,TBS PERIODE 06 07 DESEMBER 2021,45962,TBS
CRUDE PALM OIL,CRUDE PALM OIL,46000,CPO
PENJUALAN PALM KERNEL,PENJUALAN PALM KERNEL,46200,
TBS Periode 29 s.d 30 November 2021,TBS PERIODE 29 S D 30 NOVEMBER 2021,46205.89844,TBS
Palm Kernel,PALM KERNEL,46528,
UANG MUKA PALM KERNEL,UANG MUKA PALM KERNEL,46970,
Crude Palm Oil,CRUDE PALM OIL,47309,CPO
TBS PER 16-30 NOV 2021 (TT 2008),TBS PER 16 30 NOV 2021 TT 2008,47485,TBS
PK (Palm Kernel),PK PALM KERNEL,47500,
"Pembayaran Uang Muka CPO/Crude Palm Oil, No.Kontrak 073/PM/C-CPO/IV/2021",PEMBAYARAN UANG MUKA CPO CRUDE PALM OIL NO KONTRAK 073 PM C CPO IV 2021,48850,CPO
PALM KERNEL,PALM KERNEL,49130,
TBS PERIODE 16 - 17 OKTOBER 2021,TBS PERIODE 16  17 OKTOBER 2021,49182.10156,TBS
Ongkos Angkut TBS Div 1,ONGKOS ANGKUT TBS DIV 1,49270,
PENJUALAN CRUDE PALM OIL,PENJUALAN CRUDE PALM OIL,49370,CPO
"CPO/Crude Palm Oil, Kontrak No.053/PSJ/C-CPO/IV/2021",CPO CRUDE PALM OIL KONTRAK NO 053 PSJ C CPO IV 2021,49620,CPO
TBS PER 16-31 DES 2021 (TT 2013),TBS PER 16 31 DES 2021 TT 2013,49650,TBS
CRUDE PALM OIL,CRUDE PALM OIL,49980,CPO
PALM KERNEL,PALM KERNEL,49980,
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,50010,
Crude Palm Oil,CRUDE PALM OIL,50160,CPO
Palm Kernel,PALM KERNEL,50167,
PALM KERNEL,PALM KERNEL,50450,
CPO (Crude Palm Oil) Kontrak 001-CPO.IMT/LIL/I/2021,CPO CRUDE PALM OIL KONTRAK 001 CPO IMT LIL I 2021,50900,CPO
TBS Periode 07 s.d 08 Juni 2021,TBS PERIODE 07 S D 08 JUNI 2021,51216.80078,TBS
PENJUALAN PALM KERNEL,PENJUALAN PALM KERNEL,51490,
"CPO/Crude Palm Oil, Kontrak No.012/PSJ/C-CPO/I/2021",CPO CRUDE PALM OIL KONTRAK NO 012 PSJ C CPO I 2021,51570,CPO
TBS PER 16-31 OKT 2021 (TT 2008),TBS PER 16 31 OKT 2021 TT 2008,51809,TBS
UANG MUKA CRUDE PALM OIL,UANG MUKA CRUDE PALM OIL,51830,CPO
"CPO/Crude Palm Oil, Kontrak No.002/PSJ/C-CPO/I/2021",CPO CRUDE PALM OIL KONTRAK NO 002 PSJ C CPO I 2021,51980,CPO
PENJUALAN PALM KERNEL,PENJUALAN PALM KERNEL,52130,
TBS PERIODE 25 MEI 2021,TBS PERIODE 25 MEI 2021,52631,TBS
PALM KERNEL,PALM KERNEL,52960,
CRUDE PALM OIL,CRUDE PALM OIL,54140,CPO
Ongkos Angkut TBS Div 4,ONGKOS ANGKUT TBS DIV 4,54790,
PALM KERNEL,PALM KERNEL,54850,
TBS PER 01-15 DES 2021 (TT 2012),TBS PER 01 15 DES 2021 TT 2012,54981,TBS
TBS PERIODE 02 - 03 AGUSTUS 2021,TBS PERIODE 02  03 AGUSTUS 2021,55336.39844,TBS
Palm Kernel,PALM KERNEL,55450,
KLAIM MUTU CPO,KLAIM MUTU CPO,56201.20313,
PALM KERNEL,PALM KERNEL,56740,
PANJAR PALM KERNEL KONTRAK NO. 012/SJMS/KJB-PK/II/2021,PANJAR PALM KERNEL KONTRAK NO 012 SJMS KJB PK II 2021,57000,
"Pembayaran Uang Muka CPO/Crude Palm Oil, No.Kontrak 053/PM/C-CPO/III/2021",PEMBAYARAN UANG MUKA CPO CRUDE PALM OIL NO KONTRAK 053 PM C CPO III 2021,57130,CPO
PK (PALM KERNEL),PK PALM KERNEL,57368,
Crude Palm Oil,CRUDE PALM OIL,57404,CPO
CRUDE PALM OIL,CRUDE PALM OIL,57450,CPO
"CPO/Crude Palm Oil, No.Kontrak 013/PM/C-CPO/I/2021",CPO CRUDE PALM OIL NO KONTRAK 013 PM C CPO I 2021,57520,CPO
TBS Periode 15 s.d 16 November 2021,TBS PERIODE 15 S D 16 NOVEMBER 2021,57600.60156,TBS
PALM KERNEL,PALM KERNEL,57660,
"CPO/Crude Palm Oil, Kontrak No.084/PSJ/C-CPO/VIII/2021",CPO CRUDE PALM OIL KONTRAK NO 084 PSJ C CPO VIII 2021,57760,CPO
CPO (Crude Palm Oil) Kontrak 010-CPO.IMT/LIL/IV/2021,CPO CRUDE PALM OIL KONTRAK 010 CPO IMT LIL IV 2021,57850,CPO
"PK/Palm Kernel, Kontrak No.105/PSJ/C-PK/IX/2021",PK PALM KERNEL KONTRAK NO 105 PSJ C PK IX 2021,57960,
Palm Kernel Oil,PALM KERNEL OIL,58010,
Ongkos Angkut TBS DIV 4,ONGKOS ANGKUT TBS DIV 4,58180,
PALM KERNEL OIL,PALM KERNEL OIL,58450,
CRUDE PALM OIL,CRUDE PALM OIL,58870,CPO
Palm Kernel,PALM KERNEL,59583,
"PK/Palm Kernel, No.Kontrak 100/PM/C-PK/VI/2021",PK PALM KERNEL NO KONTRAK 100 PM C PK VI 2021,59830,
CPO (Crude Palm Oil) Kontrak 020-CPO.IMT/LIL/VI/2021,CPO CRUDE PALM OIL KONTRAK 020 CPO IMT LIL VI 2021,60250,CPO
PALM KERNEL,PALM KERNEL,60450,
Palm Kernel,PALM KERNEL,60556,
CRUDE PALM OIL,CRUDE PALM OIL,61140,CPO
"CPO/Crude Palm Oil, No.Kontrak 062/PM/C-CPO/IV/2021",CPO CRUDE PALM OIL NO KONTRAK 062 PM C CPO IV 2021,61340,CPO
"CPO/Crude Palm Oil, No. Kontrak 210/PM/C-CPO/XII/2021",CPO CRUDE PALM OIL NO KONTRAK 210 PM C CPO XII 2021,61390,CPO
Ongkos Angkut TBS DIV 2,ONGKOS ANGKUT TBS DIV 2,61880,
"CPO/Crude Palm Oil, No.Kontrak 034/PM/C-CPO/II/2021",CPO CRUDE PALM OIL NO KONTRAK 034 PM C CPO II 2021,61900,CPO
PALM KERNEL,PALM KERNEL,62320,
Ongkos Angkut TBS DIV 2,ONGKOS ANGKUT TBS DIV 2,62470,
CRUDE PALM OIL (KG),CRUDE PALM OIL KG,62700,CPO
Crude Palm Oil,CRUDE PALM OIL,62953,CPO
Crude Palm Oil,CRUDE PALM OIL,63006,CPO
PALM KERNEL,PALM KERNEL,63070,
TBS Periode 09 s.d 10 Oktober 2021,TBS PERIODE 09 S D 10 OKTOBER 2021,63625.19922,TBS
TBS Periode 28 Juni 2021,TBS PERIODE 28 JUNI 2021,63660.60156,TBS
"Pembayaran Uang Muka CPO/Crude Palm Oil, Kontrak No.098/PSJ/C-CPO/IX/2021",PEMBAYARAN UANG MUKA CPO CRUDE PALM OIL KONTRAK NO 098 PSJ C CPO IX 2021,64450,CPO
Crude Palm Oil,CRUDE PALM OIL,64813,CPO
CPO (Crude Palm Oil) Kontrak 041-CPO.IMT/LIL/X/2021,CPO CRUDE PALM OIL KONTRAK 041 CPO IMT LIL X 2021,64880,CPO
TBS Periode 25 - 28 Agustus 2021,TBS PERIODE 25  28 AGUSTUS 2021,65278,TBS
Crude Palm Oil,CRUDE PALM OIL,65630,CPO
CPO (Crude Palm Oil) Kontrak 015-CPO.IMT/LIL/VI/2021,CPO CRUDE PALM OIL KONTRAK 015 CPO IMT LIL VI 2021,65790,CPO
TBS PER 16-31 DES 2021 (TT 2010),TBS PER 16 31 DES 2021 TT 2010,65885,TBS
CRUDE PALM OIL,CRUDE PALM OIL,66460,CPO
Tuslaag TBS Div 6,TUSLAAG TBS DIV 6,66960,
"Pembayaran Uang Muka CPO/Crude Palm Oil, Kontrak No.074/PSJ/C-CPO/VII/2021",PEMBAYARAN UANG MUKA CPO CRUDE PALM OIL KONTRAK NO 074 PSJ C CPO VII 2021,67080,CPO
Palm Kernel,PALM KERNEL,69150,
PALM KERNEL,PALM KERNEL,69220,
PALM KERNEL KONTRAK NO. 036/SJMS/KJB-PK/IV/2021,PALM KERNEL KONTRAK NO 036 SJMS KJB PK IV 2021,69750,
Panjar Penjualan CPO (146/SRM-CPO/PKU/VI/2021),PANJAR PENJUALAN CPO 146 SRM CPO PKU VI 2021,71060,CPO
TBS PERIODE 30 - 31 OKTOBER 2021,TBS PERIODE 30  31 OKTOBER 2021,71305.5,TBS
CRUDE PALM OIL,CRUDE PALM OIL,71770,CPO
Ongkos Angkut TBS DIV 6,ONGKOS ANGKUT TBS DIV 6,72050,
TBS Periode 04 - 07 September 2021,TBS PERIODE 04  07 SEPTEMBER 2021,72520,TBS
TBS Periode 23 - 27 Juli 2021,TBS PERIODE 23  27 JULI 2021,73510,TBS
Palm Kernel,PALM KERNEL,74180,
PALM KERNEL,PALM KERNEL,74500,
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,74730,
TBS Periode 23 Maret 2021,TBS PERIODE 23 MARET 2021,74759.89844,TBS
Pembelian Palm Kernel (PK),PEMBELIAN PALM KERNEL PK,74850,
CRUDE PALM OIL,CRUDE PALM OIL,74870,CPO
CRUDE PALM OIL,CRUDE PALM OIL,74940,CPO
CRUDE PALM OIL,CRUDE PALM OIL,74970,CPO
CRUDE PALM OIL,CRUDE PALM OIL,74975,CPO
PALM KERNEL,PALM KERNEL,74990,
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,75060,
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,75140,
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,75560,
CRUDE PALM OIL,CRUDE PALM OIL,75640,CPO
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,75890,
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,76000,
Ongkos Angkut TBS DIV 1,ONGKOS ANGKUT TBS DIV 1,76090,
UANG MUKA CRUDE PALM OIL,UANG MUKA CRUDE PALM OIL,76600,CPO
CRUDE PALM OIL,CRUDE PALM OIL,78289,CPO
CRUDE PALM OIL,CRUDE PALM OIL,79270,CPO
CRUDE PALM OIL,CRUDE PALM OIL,79380,CPO
"CPO/Crude Palm Oil, No.Kontrak 016/PM/C-CPO/I/2021",CPO CRUDE PALM OIL NO KONTRAK 016 PM C CPO I 2021,79480,CPO
CRUDE PALM OIL,CRUDE PALM OIL,79490,CPO
PALM KERNEL,PALM KERNEL,79600,
Ongkos Angkut TBS DIV 5,ONGKOS ANGKUT TBS DIV 5,79610,
CRUDE PALM OIL,CRUDE PALM OIL,79810,CPO
CRUDE PALM OIL,CRUDE PALM OIL,80000,CPO
Crude Palm Oil (DP 95% Surat Perjanjian Jual-Beli No.0053/POM-KPR/CPO/II/2021 Tanggal 09 Februari 2021 PO No. 9100072922),CRUDE PALM OIL DP 95 SURAT PERJANJIAN JUAL BELI NO 0053 POM KPR CPO II 2021 TANGGAL 09 FEBRUARI 2021 PO NO 9100072922,80000,CPO
Crude Palm Oil (DP 95% Surat Perjanjian Jual-Beli No.0092/POM-KPR/CPO/III/2021 Tanggal 09 Maret 2021 PO No. 9100073860),CRUDE PALM OIL DP 95 SURAT PERJANJIAN JUAL BELI NO 0092 POM KPR CPO III 2021 TANGGAL 09 MARET 2021 PO NO 9100073860,80000,CPO
Crude Palm Oil (DP 95% Surat Perjanjian Jual-Beli No.0100/POM-KPR/CPO/III/2021 Tanggal 16 Maret 2021 PO No. 9100074149),CRUDE PALM OIL DP 95 SURAT PERJANJIAN JUAL BELI NO 0100 POM KPR CPO III 2021 TANGGAL 16 MARET 2021 PO NO 9100074149,80000,CPO
Crude Palm Oil (DP 95% Surat Perjanjian Jual-Beli No.0283/POM-KPR/CPO/VII/2021 Tanggal 27 Juli 2021 PO No. 9100078625),CRUDE PALM OIL DP 95 SURAT PERJANJIAN JUAL BELI NO 0283 POM KPR CPO VII 2021 TANGGAL 27 JULI 2021 PO NO 9100078625,80000,CPO
Crude Palm Oil (DP 95% Surat Perjanjian Jual-Beli No.0300/POM-KPR/CPO/VIII/2021 Tanggal 05 Agustus 2021 PO No. 9100079001),CRUDE PALM OIL DP 95 SURAT PERJANJIAN JUAL BELI NO 0300 POM KPR CPO VIII 2021 TANGGAL 05 AGUSTUS 2021 PO NO 9100079001,80000,CPO
Crude Palm Oil (DP 98% Surat Perjanjian Jual-Beli No.0377/POM-KPR/CPO/IX/2021 Tanggal 28 September 2021 PO No. 9100080901),CRUDE PALM OIL DP 98 SURAT PERJANJIAN JUAL BELI NO 0377 POM KPR CPO IX 2021 TANGGAL 28 SEPTEMBER 2021 PO NO 9100080901,80000,CPO
Crude Palm Oil (DP 98% Surat Perjanjian Jual-Beli No.0392/POM-KPR/CPO/X/2021 Tanggal 07 Oktober 2021 PO No. 9100081336),CRUDE PALM OIL DP 98 SURAT PERJANJIAN JUAL BELI NO 0392 POM KPR CPO X 2021 TANGGAL 07 OKTOBER 2021 PO NO 9100081336,80000,CPO
Crude Palm Oil (DP 98% Surat Perjanjian Jual-Beli No.0432/POM-KPR/CPO/XI/2021 Tanggal 04 November 2021 PO No. 9100082337),CRUDE PALM OIL DP 98 SURAT PERJANJIAN JUAL BELI NO 0432 POM KPR CPO XI 2021 TANGGAL 04 NOVEMBER 2021 PO NO 9100082337,80000,CPO
Crude Palm Oil (DP 98% Surat Perjanjian Jual-Beli No.0470/POM-KPR/CPO/XII/2021 Tanggal 02 Desember 2021 PO No. 9100083485),CRUDE PALM OIL DP 98 SURAT PERJANJIAN JUAL BELI NO 0470 POM KPR CPO XII 2021 TANGGAL 02 DESEMBER 2021 PO NO 9100083485,80000,CPO
Crude Palm Oil (Pelunasan Surat Perjanjian Jual-Beli No.0096/POM-KPR/CPO/III/2021 Tanggal 10 Maret 2021 PO No. 9100073923),CRUDE PALM OIL PELUNASAN SURAT PERJANJIAN JUAL BELI NO 0096 POM KPR CPO III 2021 TANGGAL 10 MARET 2021 PO NO 9100073923,80000,CPO
Crude Palm Oil (Pelunasan Surat Perjanjian Jual-Beli No.0122/POM-KPR/CPO/IV/2021 Tanggal 01 April 2021 PO No. 9100074721),CRUDE PALM OIL PELUNASAN SURAT PERJANJIAN JUAL BELI NO 0122 POM KPR CPO IV 2021 TANGGAL 01 APRIL 2021 PO NO 9100074721,80000,CPO
Crude Palm Oil (Pelunasan Surat Perjanjian Jual-Beli No.0224/POM-KPR/CPO/VI/2021 Tanggal 17 Juni 2021 PO No. 9100077122),CRUDE PALM OIL PELUNASAN SURAT PERJANJIAN JUAL BELI NO 0224 POM KPR CPO VI 2021 TANGGAL 17 JUNI 2021 PO NO 9100077122,80000,CPO
Crude Palm Oil (Pelunasan Surat Perjanjian Jual-Beli No.0306/POM-KPR/CPO/VIII/2021 Tanggal 10 Agustus 2021 PO No. 9100079145),CRUDE PALM OIL PELUNASAN SURAT PERJANJIAN JUAL BELI NO 0306 POM KPR CPO VIII 2021 TANGGAL 10 AGUSTUS 2021 PO NO 9100079145,80000,CPO
Crude Palm Oil (Pelunasan Surat Perjanjian Jual-Beli No.0392/POM-KPR/CPO/X/2021 Tanggal 07 Oktober 2021 PO No. 9100081336),CRUDE PALM OIL PELUNASAN SURAT PERJANJIAN JUAL BELI NO 0392 POM KPR CPO X 2021 TANGGAL 07 OKTOBER 2021 PO NO 9100081336,80000,CPO
Crude Palm Oil (Pelunasan Surat Perjanjian Jual-Beli No.0398/POM-KPR/CPO/X/2021 Tanggal 12 Oktober 2021 PO No. 9100081484),CRUDE PALM OIL PELUNASAN SURAT PERJANJIAN JUAL BELI NO 0398 POM KPR CPO X 2021 TANGGAL 12 OKTOBER 2021 PO NO 9100081484,80000,CPO
Palm Kernel ( Surat Perjanjian Jual-Beli No.0006/POM-KPR/PK/I/2021 Tanggal 06 Januari 2021 PO No. 9100071767),PALM KERNEL  SURAT PERJANJIAN JUAL BELI NO 0006 POM KPR PK I 2021 TANGGAL 06 JANUARI 2021 PO NO 9100071767,80000,
Palm Kernel ( Surat Perjanjian Jual-Beli No.0046/POM-KPR/PK/II/2021 Tanggal 03 Februari 2021 PO No. 9100072703),PALM KERNEL  SURAT PERJANJIAN JUAL BELI NO 0046 POM KPR PK II 2021 TANGGAL 03 FEBRUARI 2021 PO NO 9100072703,80000,
Palm Kernel (DP 95% Surat Perjanjian Jual-Beli No.0112/POM-KPR/PK/III/2021 Tanggal 24 Maret 2021 PO No. 9100074438),PALM KERNEL DP 95 SURAT PERJANJIAN JUAL BELI NO 0112 POM KPR PK III 2021 TANGGAL 24 MARET 2021 PO NO 9100074438,80000,
Palm Kernel (DP 95% Surat Perjanjian Jual-Beli No.0140/POM-KPR/PK/IV/2021 Tanggal 14 April 2021 PO No. 9100075154),PALM KERNEL DP 95 SURAT PERJANJIAN JUAL BELI NO 0140 POM KPR PK IV 2021 TANGGAL 14 APRIL 2021 PO NO 9100075154,80000,
Palm Kernel (Pelunasan Surat Perjanjian Jual-Beli No.0064/POM-KPR/PK/II/2021 Tanggal 17 Februari 2021 PO No. 9100073155),PALM KERNEL PELUNASAN SURAT PERJANJIAN JUAL BELI NO 0064 POM KPR PK II 2021 TANGGAL 17 FEBRUARI 2021 PO NO 9100073155,80000,
Palm Kernel (Pelunasan Surat Perjanjian Jual-Beli No.0401/POM-KPR/PK/X/2021 Tanggal 13 Oktober 2021 PO No. 9100081509),PALM KERNEL PELUNASAN SURAT PERJANJIAN JUAL BELI NO 0401 POM KPR PK X 2021 TANGGAL 13 OKTOBER 2021 PO NO 9100081509,80000,
Palm Kernel (Pelunassan Surat Perjanjian Jual-Beli No.0361/POM-KPR/PK/IX/2021 Tanggal 15 September 2021 PO No. 9100080439),PALM KERNEL PELUNASSAN SURAT PERJANJIAN JUAL BELI NO 0361 POM KPR PK IX 2021 TANGGAL 15 SEPTEMBER 2021 PO NO 9100080439,80000,
Palm Kernel (Surat Perjanjian Jual-Beli No.0150/POM-KPR/PK/IV/2021 Tanggal 21 April 2021 PO No. 9100075392),PALM KERNEL SURAT PERJANJIAN JUAL BELI NO 0150 POM KPR PK IV 2021 TANGGAL 21 APRIL 2021 PO NO 9100075392,80000,
"CPO/Crude Palm Oil, No.Kontrak 034/PM/C-CPO/II/2021",CPO CRUDE PALM OIL NO KONTRAK 034 PM C CPO II 2021,80340,CPO
PALM KERNEL,PALM KERNEL,80370,
PALM KERNEL,PALM KERNEL,80380,
"PK/Palm Kernel, Kontrak No.007/PSJ/C-PK/I/2021",PK PALM KERNEL KONTRAK NO 007 PSJ C PK I 2021,80500,
PALM KERNEL (PK),PALM KERNEL PK,80860,
CRUDE PALM OIL,CRUDE PALM OIL,80900,CPO
TBS PERIODE 23 - 27 JUNI 2021,TBS PERIODE 23  27 JUNI 2021,82427.29688,TBS
PALM KERNEL,PALM KERNEL,82860,
PALM KERNEL,PALM KERNEL,83020,
PALM KERNEL,PALM KERNEL,83240,
CRUDE PALM OIL,CRUDE PALM OIL,84320,CPO
Crude Palm Oil,CRUDE PALM OIL,84466,CPO
Ongkos angkut CPO,ONGKOS ANGKUT CPO,84750,
CRUDE PALM OIL (CPO) SESUAI KONTRAK NO. SO.010.2/10213/07-2021.22-152 DAN INVOICE NO.INV.008.2/10213/09-2021.22-137,CRUDE PALM OIL CPO SESUAI KONTRAK NO SO 010 2 10213 07 2021 22 152 DAN INVOICE NO INV 008 2 10213 09 2021 22 137,85412,CPO
PANJAR PALM KERNEL KONTRAK NO. 010/SJMS/KJB-PK/II/2021,PANJAR PALM KERNEL KONTRAK NO 010 SJMS KJB PK II 2021,85500,
PANJAR PALM KERNEL KONTRAK NO. 098/SJMS/KJB-PK/XI/2021,PANJAR PALM KERNEL KONTRAK NO 098 SJMS KJB PK XI 2021,85500,
Ongkos Angkut TBS Div 4,ONGKOS ANGKUT TBS DIV 4,86190,
Ongkos Angkut TBS DIV 3,ONGKOS ANGKUT TBS DIV 3,86220,
PENJUALAN CPO (136/CPO/KSP-SIP/XI/2021),PENJUALAN CPO 136 CPO KSP SIP XI 2021,86280,CPO
Tuslaag TBS Div 1,TUSLAAG TBS DIV 1,86280,
CRUDE PALM OIL,CRUDE PALM OIL,87720,CPO
"PK/Palm Kernel, No.Kontrak 059/PM/C-PK/IV/2021",PK PALM KERNEL NO KONTRAK 059 PM C PK IV 2021,88460,
"PK/Palm Kernel, No.Kontrak 077/PM/C-PK/IV/2021",PK PALM KERNEL NO KONTRAK 077 PM C PK IV 2021,88840,
PALM KERNEL,PALM KERNEL,88940,
PALM KERNEL,PALM KERNEL,89860,
PALM KERNEL,PALM KERNEL,89870,
CRUDE PALM OIL,CRUDE PALM OIL,90050,CPO
CPO (Crude Palm Oil) Kontrak 037-CPO.IMT/LIL/IX/2021,CPO CRUDE PALM OIL KONTRAK 037 CPO IMT LIL IX 2021,91220,CPO
Penjualan CPO (280/SRM-CPO/PKU/XII/2020),PENJUALAN CPO 280 SRM CPO PKU XII 2020,91370,CPO
PALM KERNEL,PALM KERNEL,91450,
Ongkos Angkut TBS DIV 1,ONGKOS ANGKUT TBS DIV 1,91620,
UANG MUKA PK ( PALM KERNEL ),UANG MUKA PK  PALM KERNEL,92500,
TBS Periode 03 - 09 November 2021,TBS PERIODE 03  09 NOVEMBER 2021,92522,TBS
"CPO/Crude Palm Oil, Kontrak No.086/PSJ/C-CPO/VIII/2021",CPO CRUDE PALM OIL KONTRAK NO 086 PSJ C CPO VIII 2021,93340,CPO
CPO (CRUDE PALM OIL),CPO CRUDE PALM OIL,95000,CPO
Crude Palm Oil (CPO) 95.000 Kg Kontrak 596/CPO/SMN-IMT/XII/2021 PO 9100083686,CRUDE PALM OIL CPO 95 000 KG KONTRAK 596 CPO SMN IMT XII 2021 PO 9100083686,95000,CPO
PK (PALM KERENEL),PK PALM KERENEL,95000,CPO
PK (PALM KERNEL),PK PALM KERNEL,95000,
PK (Palm Kernel),PK PALM KERNEL,95000,
Palm Kernel (PK) 95.000 Kg Kontrak 255/KERNEL/SMN-IMT/I/2021 PO 9100071911,PALM KERNEL PK 95 000 KG KONTRAK 255 KERNEL SMN IMT I 2021 PO 9100071911,95000,
"Pembayaran Uang Muka CPO/Crude Palm Oil, Kontrak No.110/PSJ/C-CPO/X/2021",PEMBAYARAN UANG MUKA CPO CRUDE PALM OIL KONTRAK NO 110 PSJ C CPO X 2021,95000,CPO
"Pembayaran Uang Muka CPO/Crude Palm Oil, No.Kontrak 038/PM/C-CPO/III/2021",PEMBAYARAN UANG MUKA CPO CRUDE PALM OIL NO KONTRAK 038 PM C CPO III 2021,95000,CPO
CPO,CPO,95240,CPO
PALM KERNEL,PALM KERNEL,95380,
Ongkos Angkut TBS DIV 2,ONGKOS ANGKUT TBS DIV 2,95470,
Palm Kernel,PALM KERNEL,97070,
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,97840,
PALM KERNEL,PALM KERNEL,97960,
INTI KELAPA SAWIT,INTI KELAPA SAWIT,98000,
PALM KERNEL,PALM KERNEL,98000,
PENJUALAN CPO (028/CPO/KSP-SIP/III/2021),PENJUALAN CPO 028 CPO KSP SIP III 2021,98000,CPO
PENJUALAN CPO (049/CPO/KSP-SIP/IV/2021),PENJUALAN CPO 049 CPO KSP SIP IV 2021,98000,CPO
Panjar Penjualan CPO (001/SRM-CPO/PKU/I/2021),PANJAR PENJUALAN CPO 001 SRM CPO PKU I 2021,98000,CPO
Panjar Penjualan CPO (022/SRM-CPO/PKU/I/2021),PANJAR PENJUALAN CPO 022 SRM CPO PKU I 2021,98000,CPO
Panjar Penjualan CPO (026/SRM-CPO/PKU/II/2021),PANJAR PENJUALAN CPO 026 SRM CPO PKU II 2021,98000,CPO
Panjar Penjualan CPO (044/CPO/PNNI-IMT/V/2021),PANJAR PENJUALAN CPO 044 CPO PNNI IMT V 2021,98000,CPO
Panjar Penjualan CPO (059/SRM-CPO/PKU/III/2021),PANJAR PENJUALAN CPO 059 SRM CPO PKU III 2021,98000,CPO
Panjar Penjualan CPO (062/SRM-CPO/PKU/III/2021),PANJAR PENJUALAN CPO 062 SRM CPO PKU III 2021,98000,CPO
Panjar Penjualan CPO (064/SRM-CPO/PKU/III/2021),PANJAR PENJUALAN CPO 064 SRM CPO PKU III 2021,98000,CPO
Panjar Penjualan CPO (100/CPO/PNNI-IMT/XI/2021),PANJAR PENJUALAN CPO 100 CPO PNNI IMT XI 2021,98000,CPO
Panjar Penjualan CPO (167/SRM-CPO/PKU/VII/2021),PANJAR PENJUALAN CPO 167 SRM CPO PKU VII 2021,98000,CPO
Panjar Penjualan CPO (177/SRM-CPO/PKU/VII/2021),PANJAR PENJUALAN CPO 177 SRM CPO PKU VII 2021,98000,CPO
Panjar Penjualan CPO (197/SRM-CPO/PKU/VIII/2021),PANJAR PENJUALAN CPO 197 SRM CPO PKU VIII 2021,98000,CPO
Panjar Penjualan CPO (201/SRM-CPO/PKU/VIII/2021),PANJAR PENJUALAN CPO 201 SRM CPO PKU VIII 2021,98000,CPO
