,productName,type,confidenceLevel,explanation
281,PALM KERNEL,Product,0.9,This is a product of Palm Kernel
282,Ongkos Angkut CPO,Service,0.8,This is a service for transport cost of Crude Palm Oil
283,TBS Periode 23 Maret 2021,Service,0.8,This is a service related to TBS with delivery date of March 2021
284,Pembelian Palm Kernel PK,Product,1.0,This is a product of Palm Kernel
285,CRUDE PALM OIL,Product,1.0,This is a raw material or processed product from palm oil
286,Ongkos Angkut CPO,Service,1.0,This is a service for transportation cost of Crude Palm Oil
287,Ongkos Angkut CPO,Service,1.0,This is a service of transport cost for Crude Palm Oil.
288,UANG MUKA CRUDE PALM OIL,Product,1.0,This is a raw material or product of Crude Palm Oil.
289,CPOCrude Palm Oil NoKontrak 016PMCCPOI2021,Product,1.0,This is a product of Crude Palm Oil with contract number 016PMCCPOI2021.
290,PALM KERNEL,Product,1.0,This is a product of Palm Kernel.
291,Ongkos Angkut TBS DIV 5,Service,1.0,This is a service for transportation cost of TBS Div 5.
292,CRUDE PALM OIL,Product,1.0,This is a raw material or processed product from palm oil.
293,Crude Palm Oil DP 95 Surat Perjanjian JualBeli...,Product,1.0,This is a raw material or processed product from palm oil with a purchase agreement.
294,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 199...,Product,0.9,This is a product of Fresh Fruit Oil Palm with the year of cultivation 199...
295,BLANKO SOUNDING PALM KERNEL,Service,0.9,This is a sounding service for palm kernel.
296,Crude Palm Oil DP 98 Surat Perjanjian JualBeli,Product,0.95,This is a raw material or processed product of Crude Palm Oil.
297,Crude Palm Oil Pelunasan Surat Perjanjian Jual,Product,0.95,This is a raw material or processed product of Crude Palm Oil.
298,Palm Kernel Surat Perjanjian JualBeli No0006P,Product,0.95,This is a raw material or processed product of Palm Kernel.
299,Palm Kernel Surat Perjanjian JualBeli No0046P,Product,0.95,This is a raw material or processed product of Palm Kernel.
300,"Palm Kernel DP, Surat Perjanjian JualBeli",Product,0.95,This is a raw material or processed product made from palm oil.
301,Palm Kernel Pelunasan Surat Perjanjian JualBeli,Service,0.9,This is a service related to the payment or settlement of palm kernel sales contracts.
302,CPOCrude Palm Oil NoKontrak,Product,0.95,This is a crude palm oil product.
303,PALM KERNEL,Product,0.95,This is a raw material or processed product made from palm oil.
304,PALM KERNEL PK,Product,1.0,This is a raw material of Palm Kernel
305,CRUDE PALM OIL,Product,1.0,This is a processed product from Palm Oil
306,TBS PERIODE 23 27 JUNI 2021,Service,0.9,"This is a service for testing or inspecting TBS with period 23 on June 27, 2021"
307,PALM KERNEL,Product,1.0,This is a raw material of Palm Kernel
308,PALM KERNEL,Product,1.0,This is a raw material of Palm Kernel
309,PALM KERNEL,Product,1.0,This is a raw material of Palm Kernel
310,CRUDE PALM OIL,Product,1.0,This is a processed product from Palm Oil
311,Crude Palm Oil,Product,1.0,This is a processed product from Palm Oil
312,Ongkos angkut CPO,Service,0.9,This is a service for transport cost of Crude Palm Oil
313,CRUDE PALM OIL CPO SESUAI KONTRAK NO SO0102102...,Product,1.0,This is a Crude Palm Oil that matches the contract number SO0102102...
314,PANJAR PALM KERNEL KONTRAK NO 010SJMSKJBPKII2021,Product,0.95,This is a product of palm kernel with contract number 010SJMSKJBPKII2021.
315,PANJAR PALM KERNEL KONTRAK NO 098SJMSKJBPKXI2021,Product,0.95,This is a product of palm kernel with contract number 098SJMSKJBPKXI2021.
316,Ongkos Angkut TBS Div 4,Service,0.9,This is a service for transport cost of TBS division 4.
317,Ongkos Angkut TBS DIV 3,Service,0.9,This is a service for transport cost of TBS division 3.
318,PENJUALAN CPO 136CPOKSPSIPXI2021,Product,0.95,This is a product of Crude Palm Oil with sales order number 136CPOKSPSIPXI2021.
319,Tuslaag TBS Div 1,Product,0.95,This is a product of Tuslaag with TBS division 1.
320,CRUDE PALM OIL,Product,0.95,This is a product of Crude Palm Oil.
321,PKPalm Kernel NoKontrak 059PMCPKIV2021,Product,0.95,This is a product of palm kernel with contract number 059PMCPKIV2021.
322,PKPalm Kernel NoKontrak 077PMCPKIV2021,Product,0.95,This is a product of palm kernel with contract number 077PMCPKIV2021.
323,PALM KERNEL,Product,0.95,This is a product of palm kernel.
324,PALM KERNEL,Product,1.0,This is a raw material or processed product from palm oil.
325,CRUDE PALM OIL,Product,1.0,This is a raw material or processed product from palm oil.
326,CPO Crude Palm Oil Kontrak 037CPOIMTLILIX2021,Product,1.0,This is a raw material or processed product from palm oil with contract number.
327,Penjualan CPO 280SRMCPOPKUXII2020,Product,1.0,This is a sold product of Crude Palm Oil.
328,Ongkos Angkut TBS DIV 1,Service,0.9,This is a service for transportation cost in TBS Division 1.
329,UANG MUKA PK PALM KERNEL,Product,1.0,This is a product of Palm Kernel with down payment.
330,TBS Periode 03 09 November 2021,Service,0.9,This is a service for TBS period 3 on 09 November 2021.
331,CPOCrude Palm Oil Kontrak No086PSJCCPOVIII2021,Product,1.0,This is a raw material or processed product from palm oil with contract number.
332,CPO CRUDE PALM OIL,Product,1.0,This is a product of Crude Palm Oil.
333,Crude Palm Oil CPO 95000 Kg Kontrak 596CPOSMNI,Product,1.0,This is a product of Crude Palm Oil with contract number 596CPOSMNI.
334,PK PALM KERENEL,Product,1.0,This is a product of PK Palm Kernel.
335,PK PALM KERNEL,Product,1.0,This is a product of PK Palm Kernel.
336,Palm Kernel PK 95000 Kg Kontrak 255KERNELSMNIM,Product,1.0,This is a product of Palm Kernel with contract number 255KERNELSMNIM.
337,Pembayaran Uang Muka CPOCrude Palm Oil Kontrak,Service,1.0,This is a service for advance payment of Crude Palm Oil.
338,Pembayaran Uang Muka CPOCrude Palm Oil NoKontrak,Service,1.0,This is a service for advance payment of Crude Palm Oil without contract.
339,PALM KERNEL,Product,1.0,This is a product of Palm Kernel.
340,Ongkos Angkut TBS DIV 2,Service,0.1,This is a service for transport cost of TBS DIV 2.
341,Palm Kernel,Product,0.95,This is a product of raw palm kernel.
342,Ongkos Angkut CPO,Service,0.1,This is a service for transport cost of CPO.
343,PALM KERNEL,Product,0.95,This is a product of palm kernel.
344,INTI KELAPA SAWIT,Product,0.95,This is a product of palm oil seeds.
345,PENJUALAN CPO 028CPOKSPSIPIII2021,Service,0.1,This is a service for palm oil cargo sale number 028CPOKSPSIPIII2021.
346,PENJUALAN CPO 049CPOKSPSIPIV2021,Service,0.1,This is a service for palm oil cargo sale number 049CPOKSPSIPIV2021.
347,Panjar Penjualan CPO 001SRMCPOPKUI2021,Service,0.1,This is a service for palm oil cargo sale support structure number 001SRMCPOPKUI2021.
348,Panjar Penjualan CPO 022SRMCPOPKUI2021,Service,0.1,This is a service for palm oil cargo sale support structure number 022SRMCPOPKUI2021.
349,Panjar Penjualan CPO,Product,1.0,These are products of Crude Palm Oil
350,Panjar Penjualan CPO,Product,1.0,This is a product of Crude Palm Oil
351,Uang muka PK PALM KERNEL,Product,1.0,This is a product of Palm Kernel Letter of Credit
352,Ongkos Angkut CPO,Service,1.0,This is a service for transportation cost of Crude Palm Oil
353,Palm Kernel,Product,1.0,This is a product of Palm Kernel
354,TBS Periode 19 Juli 2021,Product,1.0,"This is a product of TBS with delivery date of July 19, 2021"
355,Ongkos Angkut CPO,Service,1.0,This is a service for transport cost of CPO
356,Penjualan CPO 014SRMCPOPKUI2021,Product,1.0,This is a product of CPO sold under contract number 014SRMCPOPKUI2021
357,Minyak Sawit CPO,Product,1.0,This is a product of Crude Palm Oil
358,CPO Crude Palm Oil Kontrak 016CPOIMTLILVI2021,Product,1.0,This is a product of Crude Palm Oil under contract number 016CPOIMTLILVI2021
359,TBS Periode 2730 Oktober 2021,Product,1.0,This is a product of TBS for the period October 2021
360,CPO CRUDE PALM OIL,Product,1.0,This is a product of Crude Palm Oil
361,PK PALM KERNEL,Product,1.0,This is a product of Palm Kernel
362,PALM KERNEL,Product,1.0,This is a product of Palm Kernel
363,Minyak Sawit CPO,Product,1.0,This is a product of Crude Palm Oil labeled as Minyak Sawit CPO
364,Analisa Pengujian INSPEKSI MINYAK KELAPA SAWIT DAN PRODUK TURUNANNYA dan Analisa 1 Sa,Service,0.9,This is a service for testing palm oil and its derivatives.
365,TANDAN BUAH SEGAR KELAPA SAWIT TAHUN TANAM 1999 1700094 KG,Product,0.9,This is a product of Fresh Fruit Oil Palm.
366,CPO,Product,1.0,This is Crude Palm Oil.
367,PALM KERNEL PK,Product,1.0,This is Packed Palm Kernel.
368,Palm Kernel,Product,1.0,This is Palm Kernel.
369,CPO CRUDE PALM OIL,Product,1.0,This is Crude Palm Oil.
370,CRUDE PALM OIL CPO,Product,1.0,This is Crude Palm Oil obtained from CPO.
371,PK PALM KERNEL,Product,1.0,This is Packed Palm Kernel.
372,Pembelian Crude Palm Oil CPO,Service,0.9,This is a service for purchasing Crude Palm Oil.
373,CRUDE PALM OIL,Product,1.0,This is Crude Palm Oil.
374,PALM KERNEL PK,Service,0.9,This is a service for packaging Palm Kernel.
375,Analisa Sampel RBD Palm Stearin,Service,1.0,This is a service for analyzing RBD palm stearin.
376,CPO,Product,1.0,This is a raw material or processed product from palm oil.
377,Pengujian Inspeksi Minyak Kelapa Sawit...,Service,1.0,This is a service for inspecting and testing palm oil.
378,Discharging Survey of CPO,Service,1.0,This is a survey for discharging CPO.
379,Kalibrasi Sounding Tape CPO,Service,1.0,This is a service for calibrating sounding tape for CPO.
380,Pelunasan 50 angkutan CPO dari...,Service,1.0,This is a payment for transporting 50 trucks of CPO.
381,Tandan Buah Segar Kelapa Sawit Tahun Tanam 199...,Product,1.0,This is a fresh fruit of palm oil harvested in the year 199...
382,CPO Crude Palm Oil,Product,1.0,This is a raw material or processed product from crude palm oil.
383,CRUDE PALM OIL CPO,Product,1.0,This is a raw material or processed product from crude palm oil.
384,Crude Palm Oil,Product,1.0,This is a raw material from the palm tree.
